Client \ Feature (NIP) [Kind],Open Source,Last Reviewed Version (or date),Primary Purpose,Web App,Windows App,Linux App,macOS App,iOS App,Android App,Integrated Wallet,Multiple Accounts,Event Relays,User Relays (65),Relay Info (11),Access Raw/JSON,Follow Hashtags,Local Feeds,Algorithmic Feeds,Rebroadcast,Machine Translation,Push Notifications,Event Deletion (9),Report (56),Mute (51) [10000],Zaps (57),Reactions (25),Microblogging [1],Direct Message (4),Chat Rooms (28),Communities (172),Long-form Content (23),Pins (51) [10001],Bookmarks (51) [30001],Badges (58),Search (50),Content Warning (36),Subject Tag (14),Live Streaming (53),Classifieds (99),Calendar Events (52),Marketplaces (15),Wallet Connect (47),Nostr Connect (46),Mnemonic Seed (6),Proof of Work (13),Labeling & Reviews (32)
Gossip,"<a href=""https://github.com/mikedilger/gossip"">github</a>",0.8.1,Microblogging,❌,✅,✅,✅,❌,❌,❌,❌,🟡,✅,✅,✅,❌,❌,❌,❌,❌,❌,✅,❌,🟡,🟡,🟡,✅,✅,❌,❌,🟡,❌,❌,❌,🟡,✅,✅,❌,?,,,,,,✅,?
"<a href=""https://lume.nu/"">Lume</a>","<a href=""https://github.com/luminous-devs/lume"">github</a>",1.1.1,Microblogging,❌,✅,✅,✅,❌,❌,❌,❌,?,?,,,,,,,,,,?,?,🟡,✅,✅,✅,❌,?,?,,?,?,,,,❌,?,,,,,,,
"<a href=""https://amethyst.social/"">Amethyst</a>","<a href=""https://github.com/vitorpamplona/amethyst"">github</a>",0.79.2,Microblogging,❌,❌,❌,❌,❌,✅,❌,✅,✅,🟡,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,🟡,✅,✅,✅,✅,✅,✅,✅,❌,❌,✅,❌,❌,❌,
Nostros,"<a href=""https://github.com/KoalaSat/nostros"">github</a>",0.3.2.5,Microblogging,❌,❌,❌,❌,❌,✅,❌,?,?,?,,,,,,,,,,?,?,✅,?,✅,✅,❌,?,?,,✅,?,,,,?,?,,,,,,,
"<a href=""https://plebstr.com/"">Plebstr</a>",?,0.7.6 (56),Microblogging,❌,❌,❌,🟡,✅,✅,❌,❌,❌,✅,,,,,,,❌,❌,,✅,🟡,🟡,🟡,✅,✅,❌,❌,?,,❌,❌,,,,❌,?,,,,,,,
"<a href=""https://app.getcurrent.io/"">Current</a>","<a href=""https://github.com/starbackr-com/current"">github</a>",0.1.0,Microblogging,❌,❌,❌,🟡,✅,✅,✅⚡,❌,?,?,,,❌,,,,?,✅⚡,,✅,🟡,✅⚡,🟡,✅,✅,❌,❌,?,,❌,✅,,,,❌,?,,,,,,,
"<a href=""https://damus.io/"">Damus</a>","<a href=""https://github.com/damus-io/damus"">github</a>",1.6 (11),Microblogging,❌,❌,❌,🟡,✅,❌,❌,❌,❌,✅,✅,,✅,✅,❌,,🟡,🟡,❌,✅,🟡,🟡,✅,✅,✅,❌,❌,✅,,✅,?,🟡,❌,❌,❌,?,,,,,,,
"<a href=""https://www.nos.social/"">Nos</a>","<a href=""https://github.com/planetary-social/nos"">github</a>",0.1 (65),Microblogging,❌,❌,❌,🟡,✅,❌,❌,❌,❌,❌,,✅,,,,,❌,?,,✅,🟡,?,🟡,✅,❌,❌,❌,?,,❌,❌,?,,,❌,?,,,,,,,
"<a href=""https://nostur.com/"">Nostur</a>","<a href=""https://github.com/nostur-com/nostur-ios-public"">github</a>",1.5.0 (147),Microblogging,❌,❌,❌,✅,✅,❌,❌,✅,✅,?,,?,,✅,✅,,❌,❌,,✅,🟡,🟡,🟡,✅,✅,❌,❌,✅,,✅,✅,✅,,,❌,?,,,,,,,
"<a href=""https://primal.net/"">Primal</a>","<a href=""https://github.com/PrimalHQ"">github</a>","0.80.3 (web), 0.30.4 (iOS)",Microblogging,✅,❌,❌,🟡,✅,✅,❌,❌,❌,❌,,,,❌,✅,✅,❌,❌,❌,✅,✅,🟡,🟡,✅,✅,❌,❌,?,,❌,❌,✅,❌,❌,❌,?,,,,,,,
"<a href=""https://github.com/haorendashu/nostrmo_faq"">Nostrmo</a>","<a href=""https://github.com/haorendashu/nostrmo"">github</a>",1.8.0,Microblogging,🟡,✅,❌,✅,✅,✅,❌,✅,?,✅,,✅,✅,❌,✅,✅,✅,❌,,?,🟡,✅,🟡,✅,✅,❌,?,?,,❌,❌,🟡,,,❌,?,,,,,,,
"<a href=""https://old.iris.to/"">Iris (old)</a>","<a href=""https://github.com/irislib/iris-messenger"">github</a>",0.2.1,Microblogging,✅,✅,✅,✅,✅,✅,❌,❌,🟡,❌,,✅,,,✅,✅,❌,❌,✅,✅,🟡,✅,🟡,✅,✅,❌,?,?,,❌,?,✅,❌,❌,❌,?,,,,,,,
"<a href=""https://iris.to/"">Iris</a>",?,?,Microblogging,✅,❌,❌,❌,❌,❌,❌,?,❌,✅,✅,,,✅,✅,,?,,✅,❌,🟡,✅,🟡,✅,✅,❌,?,❌,✅,✅,✅,✅,✅,❌,?,?,,,,,,,
"<a href=""https://snort.social/"">Snort</a>","<a href=""https://github.com/v0l/snort"">github</a>",0.1.12,Microblogging,✅,❌,❌,❌,❌,❌,❌,?⚡,❌,✅,✅,,,✅,✅,,?⚡,,✅,❌,🟡,✅,🟡,✅,✅,❌,?,❌,✅,✅,✅,✅,✅,❌,?,?,,,,,,,
"<a href=""https://coracle.social/"">Coracle</a>","<a href=""https://github.com/coracle-social/coracle"">github</a>",0.3.10,Microblogging,✅,❌,❌,❌,❌,❌,❌,✅,🟡,✅,🟡,✅,,✅,✅,✅,❌,,❌,❌,🟡,✅,🟡,✅,✅,❌,?,✅,,?,❌,🟡,✅,❌,❌,?,,,,,,,✅
"<a href=""https://satellite.earth/"">Satellite</a>","<a href=""https://github.com/lovvtide/satellite-web"">github</a>",?,Communities,✅,❌,❌,❌,❌,❌,❌,❌,?,?,,✅,,❌,✅,,❌,,,❌,❌,🟡,🟡,✅,✅,❌,✅,❌,,❌,❌,🟡,,,❌,?,,,,,,,
"<a href=""https://zapddit.com/"">Zapddit</a>","<a href=""https://github.com/vivganes/zapddit"">github</a>",?,Communities,✅,❌,❌,❌,❌,❌,❌,?,?,?,,,,,,,,,,?,?,✅,🟡,✅,?,❌,✅,?,,?,,,,,?,?,,,,,,,
"<a href=""https://habla.news/"">Habla</a>","<a href=""https://github.com/verbiricha/habla.news"">github</a>",?,Articles,✅,❌,❌,❌,❌,❌,❌,❌,?,?,,,,✅,✅,,,,,?,?,🟡,?,✅,?,❌,?,✅,,?,❌,?,,,❌,?,,,,,,,
"<a href=""https://yakihonne.com/"">YakiHonne</a>",?,?,Articles,✅,❌,❌,❌,❌,❌,❌,❌,,,,,,,,,,,,,,,,,,,,✅,,,,,,,,,,,,,,,
"<a href=""https://flycat.club/"">Flycat</a>","<a href=""https://github.com/digi-monkey/flycat-web"">github</a>",0.2.0,Microblogging,✅,❌,❌,❌,❌,❌,❌,❌,,,,,,,,,,,,,,,,,,,,✅,,,,,,,,,,,,,,,
"<a href=""https://nostrudel.ninja/"">noStrudel</a>","<a href=""https://github.com/hzrd149/nostrudel"">github</a>",(2023-10-10),Microblogging,✅,❌,❌,❌,❌,❌,❌,✅,✅,✅,✅,✅,?,✅,❌,✅,❌,,✅,❌,✅,✅,✅,✅,?,?,✅,🟡,❌,✅,,🟡,,,,,,,,,,,
"<a href=""https://oddbean.com/"">Oddbean</a>",?,(2023-10-10),Aggregator,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,,?,,,🟡,❌,❌,❌,❌,,❌,❌,,❌,,,,,,,,,,,
"<a href=""https://freefrom.space/"">FreeFrom</a>",?,1.1.5,Microblogging,🟡,❌,❌,❌,✅,✅,❌,❌,❌,🟡,✅,?,❌,❌,✅,❌,🟡,🟡,✅,❌,?,?,✅,✅,✅,✅,?,❌,❌,❌,,✅,,,,,,,,,,,
"<a href=""https://nostr.band/"">nostr.band</a>","<a href=""https://github.com/nostrband/nostr-band-app"">github</a>",?,Search Index,✅,❌,❌,❌,❌,❌,❌,❌,✅,✅,,✅,,❌,✅,❌,,,❌,,,✅,,,,,,🟡,,,,✅,❌,❌,❌,,,,,,,,
"<a href=""https://zap.stream/"">zap.stream</a>",?,?,Live Streaming,✅,❌,❌,❌,❌,❌,❌,❌,?,?,,,,,,,,,,?,🟡,✅,✅,❌,✅,❌,?,❌,,?,,,,,✅,?,,,,,,,
"<a href=""https://thearcapp.com/"">Arcade</a>","<a href=""https://github.com/ArcadeLabsInc/arcade"">github</a>",0.3.2 (1),Chat,❌,❌,❌,❌,✅,✅,❌,❌,❌,?,,,,,,,,?,,❌,❌,❌,❌,❌,✅,✅,?,?,,?,,,,,?,?,,,,,,,
